,sentence,intent
0,날씨 알려주겠니,weather
1,날씨 정보 알려주세요,weather
2,그 때 기온 어떨까,weather
3,그 때 기온 좋으려나,weather
4,기온 어떨 것 같은데,weather
5,기온 어때,weather
6,기온 말해줄래,weather
7,기온 어떠니,weather
8,구름 많이 꼈나,weather
9,기온 어떠냐,weather
10,야 기온 어때,weather
11,아하 과천 날씨 맑을까,weather
12,아하 증평 날씨 덥냐,weather
13,아하 양구 날씨 흐리냐,weather
14,아하 상주 우산 써야 할까,weather
15,아하 계룡 날씨 흐리냐,weather
16,아하 거제 날씨 덥냐,weather
17,아하 제주 맑니,weather
18,아하 영월 덥냐,weather
19,아하 구례 날씨 맑니,weather
20,아하 나주 우산 챙겨야해,weather
21,아하 동두천 덥냐,weather
22,아하 진도 날씨 추울까,weather
23,아하 양주 덥냐,weather
24,아하 상주 비오냐,weather
25,그럼 고양 덥냐,weather
26,아하 오산 날씨 더울까,weather
27,아하 남원 날씨 더울까,weather
28,아하 거제 우산 필요하니,weather
29,아하 철원 흐리냐,weather
30,동작구 눈 올지 알려줄 수 있니,weather
31,서대문구 눈 올지 알려줄 수 있니,weather
32,종로구 눈 올지 알아봐줘,weather
33,노원구 비 올지 알아봐줘,weather
34,강북구 비 오는지 알려주라,weather
35,도봉구 비 오는지 말해 줘봐,weather
36,용산구 눈 올지 알려줘,weather
37,강남구 날씨 알려주세요,weather
38,광진구 비 올지 말해 줘,weather
39,은평구 비 올지 알려줄 수 있니,weather
40,강서구 날씨 말해 줘주라,weather
41,서대문구 눈 오는지 말해 줘,weather
42,동대문구 눈 올지 말해 줘주세요,weather
43,중랑구 비 올지 부탁 해,weather
44,영등포구 눈 올지 알려줄 수 있니,weather
45,금천구 비 올지 알려줄래,weather
46,강서구 날씨 말해 줘봐,weather
47,강북구 눈 올지 말해 줘,weather
48,금천구 비 오는지 말해 줘봐,weather
49,서초구 날씨 말해 줘주세요,weather
50,강남구 눈 올지 알려주세요,weather
51,강동구 날씨 말해 줘,weather
52,강북구 눈 오는지 말해 줘주세요,weather
53,용산구 눈 올지 말해 줘,weather
54,성동구 눈 올지 말해 줄 수 있니,weather
55,강남구 비 오는지 말해 줘,weather
56,종로구 비 오는지 알려주라,weather
57,송파구 눈 오는지 알려줘,weather
58,양천구 눈 오는지 알아봐줘,weather
59,서대문구 비 오는지 말해 줘줘,weather
60,동대문구 비 오는지 부탁 합니다,weather
61,영등포구 눈 오는지 말해 줄 수 있니,weather
62,노원구 비 올지 알려줄래,weather
63,마포구 눈 오는지 알려줘,weather
64,마포구 날씨 부탁 해,weather
65,은평구 눈 오는지 말해 줘줘,weather
66,도봉구 비 올지 알려줄 수 있니,weather
67,서대문구 비 올지 알려줘,weather
68,송파구 눈 올지 부탁 해,weather
69,강서구 눈 올지 말해 줘봐,weather
70,마포구 비 올지 알려주라,weather
71,종로구 비 오는지 말해 줘봐,weather
72,마포구 비 올지 알 수 있을까,weather
73,마포구 눈 올지 말해 줘주라,weather
74,송파구 눈 올지 말해 줘줘,weather
75,마포구 날씨 알려줄래,weather
76,용산구 눈 올지 알려줄 수 있니,weather
77,서초구 눈 오는지 부탁 해,weather
78,은평구 눈 오는지 말해 줘,weather
79,종로구 눈 올지 알려줘,weather
80,마포구 비 올지 말해 줘주세요,weather
81,송파구 비 오는지 말해 줘주세요,weather
82,노원구 눈 올지 알려줄래,weather
83,중랑구 날씨 알려줄래,weather
84,성동구 눈 오는지 알려줄래,weather
85,강남구 눈 오는지 알려줄래,weather
86,용산구 날씨 부탁 합니다,weather
87,서대문구 날씨 알고싶어,weather
88,동대문구 눈 오는지 알려주세요,weather
89,강남구 눈 오는지 말해 줘,weather
90,중구 비 오는지 부탁 합니다,weather
91,도봉구 날씨 말해 줘주라,weather
92,마포구 눈 오는지 알려주라,weather
93,서울 중랑구 덥니,weather
94,서울 동작구 우산 필요할까,weather
95,서울 강북구 날씨 덥냐,weather
96,서울 구로구 우산 챙겨야해,weather
97,서울 도봉구 덥니,weather
98,서울 동대문구 날씨 맑을까,weather
99,서울 양천구 맑을까,weather
100,서울 중랑구 우산 필요해,weather
101,서울 도봉구 날씨 어떠냐,weather
102,서울 양천구 날씨 춥냐,weather
103,서울 금천구 춥냐,weather
104,서울 강서구 맑니,weather
105,서울 중구 우산 써야하니,weather
106,서울 강서구 날씨 어떠냐,weather
107,서울 서대문구 날씨 춥냐,weather
108,서울 종로구 날씨 어때,weather
109,서울 서초구 날씨 흐리냐,weather
110,서울 동작구 날씨 흐릴까,weather
111,서울 관악구 날씨 덥냐,weather
112,서울 중랑구 날씨 흐리니,weather
113,서울 송파구 날씨 맑니,weather
114,서울 강남구 춥니,weather
115,서울 종로구 날씨 맑을까,weather
116,서울 노원구 날씨 흐릴까,weather
117,서울 서초구 덥니,weather
118,서울 동작구 우산 챙길까,weather
119,서울 송파구 눈 올까,weather
120,서울 양천구 눈 오냐,weather
121,서울 노원구 우산 써야하니,weather
122,서울 서초구 우산 챙겨야 할까,weather
123,서울 금천구 눈 오냐,weather
124,서울 강서구 날씨 맑을까,weather
125,서울 마포구 날씨 흐리냐,weather
126,서울 도봉구 우산 챙겨야 할까,weather
127,서울 구로구 비 올까,weather
128,서울 노원구 눈 오니,weather
129,서울 중구 우산 챙길까,weather
130,서울 은평구 추울까,weather
131,서울 노원구 날씨 맑니,weather
132,서울 금천구 우산 필요하냐,weather
133,서울 용산구 날씨 맑을까,weather
134,서울 중구 맑을까,weather
135,서울 강북구 비오니,weather
136,서울 영등포구 비오니,weather
137,서울 서대문구 날씨 흐릴까,weather
138,서울 강동구 우산 필요하니,weather
139,서울 중랑구 맑니,weather
140,서울 종로구 우산 써야하니,weather
141,서울 노원구 흐릴까,weather
142,서울 동대문구 맑니,weather
143,서울 은평구 날씨 어때,weather
144,서울 강북구 날씨 추울까,weather
145,서울 강서구 추울까,weather
146,서울 도봉구 우산 필요해,weather
147,서울 강북구 날씨 어떠냐,weather
148,서울 송파구 우산 가져가야하니,weather
149,서울 용산구 흐리냐,weather
150,서울 광진구 날씨 어떠니,weather
151,서울 송파구 눈 오니,weather
152,서울 강서구 눈 오냐,weather
153,서울 성동구 비오니,weather
154,서울 금천구 우산 챙겨야해,weather
155,서울 영등포구 날씨 어떠니,weather
156,서울 강북구 우산 써야 할까,weather
157,서울 용산구 날씨 흐리니,weather
158,서울 강남구 날씨 흐리니,weather
159,서울 용산구 덥니,weather
160,서울 성동구 우산 가져가야하니,weather
161,서울 중랑구 춥냐,weather
162,서울 강북구 날씨 더울까,weather
163,서울 도봉구 눈 올까,weather
164,서울 동대문구 흐리니,weather
165,서울 관악구 우산 써야하니,weather
166,서울 관악구 덥냐,weather
167,서울 노원구 비 올까,weather
168,서울 종로구 춥니,weather
169,서울 강서구 눈 올까,weather
170,서울 강남구 흐릴까,weather
171,서울 강동구 춥냐,weather
172,서울 서대문구 우산 써야하니,weather
173,서울 동작구 우산 필요하냐,weather
174,서울 중랑구 날씨 맑냐,weather
175,서울 양천구 흐리냐,weather
176,서울 노원구 날씨 흐리냐,weather
177,서울 송파구 날씨 덥냐,weather
178,서울 강남구 날씨 어떠냐,weather
179,서울 중구 날씨 춥니,weather
180,서울 구로구 날씨 춥냐,weather
181,서울 도봉구 날씨 어떠니,weather
182,서울 강북구 흐리냐,weather
183,서울 동작구 우산 필요하니,weather
184,서울 관악구 우산 챙겨야해,weather
185,서울 성동구 흐릴까,weather
186,서울 노원구 우산 필요하니,weather
187,서울 성동구 날씨 맑을까,weather
188,서울 중랑구 날씨 흐릴까,weather
189,서울 광진구 비오니,weather
190,서울 구로구 우산 써야하니,weather
191,서울 성북구 우산 필요해,weather
192,서울 동작구 우산 쓸까,weather
193,서울 성동구 눈 올까,weather
194,서울 광진구 날씨 어때,weather
195,서울 강동구 추울까,weather
196,서울 종로구 덥냐,weather
197,서울 강서구 비오냐,weather
198,서울 강남구 날씨 춥니,weather
199,서울 영등포구 흐리니,weather
200,서울 동대문구 날씨 맑냐,weather
201,서울 광진구 흐리냐,weather
202,서울 동대문구 춥니,weather
203,서울 금천구 우산 가져갈까,weather
204,서울 광진구 덥니,weather
205,서울 서대문구 더울까,weather
206,서울 양천구 우산 챙길까,weather
207,서울 강서구 춥냐,weather
208,서울 광진구 흐리니,weather
209,서울 구로구 날씨 추울까,weather
210,서울 양천구 눈 오니,weather
211,서울 영등포구 맑니,weather
212,서울 강서구 날씨 덥냐,weather
213,서울 서대문구 우산 필요해,weather
214,서울 성동구 추울까,weather
215,서울 마포구 우산 챙겨야 할까,weather
216,서울 강서구 흐리냐,weather
217,서울 강북구 눈 오냐,weather
218,서울 용산구 덥냐,weather
219,서울 금천구 날씨 어떠냐,weather
220,서울 동대문구 추울까,weather
221,서울 중랑구 날씨 어떠냐,weather
222,서울 영등포구 우산 챙겨야 할까,weather
223,서울 강남구 날씨 맑니,weather
224,서울 종로구 우산 써야 할까,weather
225,서울 동작구 날씨 어떠니,weather
226,서울 중랑구 우산 가져갈까,weather
227,서울 강서구 날씨 어때,weather
228,서울 용산구 흐릴까,weather
229,서울 송파구 날씨 어떠냐,weather
230,서울 양천구 우산 챙겨야해,weather
231,서울 동작구 날씨 맑을까,weather
232,서울 동대문구 날씨 추울까,weather
233,서울 노원구 춥냐,weather
234,서울 마포구 날씨 어떠냐,weather
235,서울 성동구 눈 오니,weather
236,서울 용산구 우산 써야 할까,weather
237,서울 동대문구 더울까,weather
238,서울 금천구 날씨 맑냐,weather
239,서울 종로구 날씨 더울까,weather
240,서울 동작구 춥냐,weather
241,서울 양천구 맑니,weather
242,서울 성북구 흐리니,weather
243,서울 중랑구 흐릴까,weather
244,서울 도봉구 날씨 어때,weather
245,서울 도봉구 우산 챙겨야해,weather
246,서울 강서구 날씨 흐릴까,weather
247,서울 영등포구 맑을까,weather
248,서울 구로구 날씨 흐릴까,weather
249,서울 금천구 우산 필요할까,weather
250,서울 양천구 우산 쓸까,weather
251,서울 마포구 우산 필요하니,weather
252,서울 서대문구 우산 챙겨야 할까,weather
253,서울 강남구 날씨 덥냐,weather
254,서울 중랑구 우산 필요할까,weather
255,서울 도봉구 우산 챙길까,weather
256,서울 노원구 맑을까,weather
257,서울 중랑구 추울까,weather
258,서울 금천구 날씨 덥니,weather
259,서울 강북구 춥니,weather
260,서울 금천구 날씨 흐리냐,weather
261,서울 강동구 우산 필요해,weather
262,서울 강동구 날씨 맑을까,weather
263,서울 송파구 맑을까,weather
264,서울 마포구 우산 가져갈까,weather
265,서울 종로구 춥냐,weather
266,서울 영등포구 날씨 추울까,weather
267,서울 구로구 날씨 덥니,weather
268,서울 관악구 날씨 흐리냐,weather
269,서울 종로구 날씨 맑냐,weather
270,서울 용산구 우산 필요하냐,weather
271,서울 종로구 비오니,weather
272,서울 중랑구 우산 필요하냐,weather
273,서울 강남구 흐리니,weather
274,서울 노원구 비오냐,weather
275,서울 은평구 날씨 흐릴까,weather
276,서울 광진구 날씨 춥니,weather
277,서울 영등포구 비 올까,weather
278,서울 성북구 날씨 맑을까,weather
279,서울 양천구 우산 써야하니,weather
280,서울 은평구 흐리냐,weather
281,서울 성북구 우산 챙길까,weather
282,서울 관악구 맑니,weather
283,서울 강북구 흐리니,weather
284,서울 구로구 우산 가져갈까,weather
285,서울 구로구 날씨 어떠니,weather
286,서울 동대문구 우산 써야하니,weather
287,서울 중랑구 날씨 춥냐,weather
288,서울 서초구 흐리니,weather
289,서울 강북구 우산 챙겨야 할까,weather
290,서울 송파구 맑니,weather
291,서울 서초구 우산 가져가야하니,weather
292,서울 강동구 우산 가져가야하니,weather
293,서울 동대문구 날씨 덥냐,weather
294,서울 구로구 우산 필요할까,weather
295,서울 강동구 날씨 흐리니,weather
296,서울 영등포구 우산 필요하니,weather
297,서울 서대문구 흐리냐,weather
298,서울 중구 흐리니,weather
299,서울 금천구 날씨 춥니,weather
300,서울 광진구 눈 오냐,weather
301,서울 성동구 덥냐,weather
302,서울 중랑구 우산 챙겨야 할까,weather
303,서울 양천구 날씨 맑냐,weather
304,서울 송파구 우산 필요하니,weather
305,서울 서대문구 흐리니,weather
306,서울 도봉구 덥냐,weather
307,서울 노원구 더울까,weather
308,서울 은평구 우산 가져가야하니,weather
309,서울 강동구 우산 필요할까,weather
310,서울 성동구 날씨 추울까,weather
311,서울 성동구 맑을까,weather
312,서울 성동구 날씨 어떠냐,weather
313,서울 서초구 눈 오니,weather
314,서울 양천구 우산 가져가야하니,weather
315,서울 강남구 날씨 덥니,weather
316,서울 강동구 우산 써야하니,weather
317,서울 종로구 눈 올까,weather
318,서울 은평구 맑냐,weather
319,서울 송파구 우산 필요하냐,weather
320,서울 송파구 우산 쓸까,weather
321,서울 은평구 날씨 덥냐,weather
322,서울 노원구 우산 가져가야하니,weather
323,서울 중랑구 날씨 춥니,weather
324,서울 강북구 우산 필요할까,weather
325,서울 용산구 날씨 덥니,weather
326,서울 용산구 비오니,weather
327,서울 서초구 추울까,weather
328,서울 용산구 우산 써야하니,weather
